id,owner,timestamp,type,version,bench reference,crate weight timestamp,crop name,weight in kilograms
70652,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,Uuu,2024-01-06 15:30:07+00:00,Crisp leaf green,4.751682496436815
70653,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00575,2024-01-06 15:30:07+00:00,Crisp leaf green,4.7939972724852336
70654,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00157,2024-01-06 15:30:07+00:00,Crisp leaf green,4.39991271258707
70655,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01132,2024-01-06 15:30:07+00:00,Crisp leaf green,4.532959859952063
70656,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00652,2024-01-06 16:27:05+00:00,Crisp leaf green,3.1465234427209436
70657,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00070,2024-01-06 16:27:05+00:00,Crisp leaf green,1.8329027028326452
70658,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01119,2024-01-06 16:29:06+00:00,Crisp leaf green,4.8802008628845215
70659,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01011,2024-01-06 16:32:44+00:00,Crop not found,2.3569412231445312
70660,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00112,2024-01-06 16:40:18+00:00,Crisp leaf green,1.6733181471576741
70661,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00261,2024-01-06 16:40:18+00:00,Crisp leaf green,2.2991843228588054
70662,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00544,2024-01-06 16:43:56+00:00,Crisp leaf green,4.309868335723877
70663,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00773,2024-01-06 16:49:33+00:00,Crisp leaf green,5.490891537141003
70664,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00480,2024-01-06 16:49:33+00:00,Crisp leaf green,6.23498026423534
70665,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00348,2024-01-06 17:39:26+00:00,Crisp leaf green,1.0034594535827637
70666,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00493,2024-01-06 17:51:24+00:00,Crisp leaf green,3.1356441368663712
70667,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01214,2024-01-06 17:51:24+00:00,Crisp leaf green,3.116655410329064
70668,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,Uuuuu,2024-01-06 18:35:38+00:00,Incise leaf green,0.8975973151291764
